,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
16681,1578c1,9,7.2,36.3,11.9,18.2,0.104,6.9,1.12,2,25.8,1.41,0.22,0.014,0.0009,2.9,128.1,QSE
16682,1578d1,9,7.3,32.5,10.2,13.6,0.069,5.2,1.4,1.76,25.7,1.17,0.16,0.0128,0.001,2.1,114,QSE
16683,1579a1,9,6.5,35.4,11.2,15.3,0.098,5.8,1.32,1.76,25.6,1.29,0.15,0.0115,0.0011,2.4,118.3,QSE
16684,1579b1,9,14.7,49.9,17.1,14.2,0.08,7.2,0.6,1.44,15.5,0.77,0.14,0.0094,0.0009,2.6,133.6,QSE
16685,1579c1,9,3.8,28.9,12,13.5,0.088,5.3,1.04,2,19.8,1.06,0.16,0.0123,0.0024,2.4,102.4,QSE
16686,1579d1,9,12.8,49.4,16.2,16.4,0.092,8.6,0.92,1.76,31.9,0.91,0.19,0.0128,0.0009,2.9,154.9,QSE
16687,1580a1,9,15.5,52.7,18.7,13,0.061,6,0.72,1.28,25.9,0.88,0.17,0.0168,0.0008,1.9,153.6,QSE
16688,1580c1,9,6.9,32.2,9.3,13.3,0.07,5.9,1,1.2,41.5,1.35,0.19,0.0146,0.001,2.4,129.9,QSE
16689,1580d1,9,9.1,35.6,11.2,12.8,0.072,6.4,1.08,1.44,40.3,1.53,0.19,0.0149,0.0011,2,136.6,QSE
16690,1585a1,9,11.5,40.6,12.8,17.2,0.102,8,0.68,1.6,15.6,0.76,0.19,0.0124,0.0009,2.9,124.3,QSE
16691,1585b1,9,9.3,41.4,13,16,0.089,7.2,0.8,1.44,10.7,0.74,0.15,0.0124,0.001,2.8,116,QSE
16692,1586a1,9,9.1,37.4,10.4,16,0.086,6.9,0.52,12.5,9.2,0.63,0.15,0.0116,0.0012,2.4,116.9,QSE
16693,1586b1,9,9.9,40.4,10.9,17.6,0.051,5.4,0.8,1.44,11.4,0.7,0.17,0.0076,0.0011,2.5,108.9,QSE
16694,1586c1,9,7.1,44.6,11,18.4,0.058,6.9,0.52,0.8,8.2,0.6,0.14,0.0084,0.0011,3,109.7,QSE
16695,1586d1,9,7,45.5,11.2,21.1,0.099,6.4,0.52,1.12,9.6,0.59,0.14,0.0065,0.001,2.9,112.7,QSE
16696,1587a1,9,10.3,44.1,15.1,14.6,0.096,8.7,0.44,1.12,13.4,0.69,0.14,0.008,0.0008,2.6,119.3,QSE
16697,1587b1,9,6.3,29.6,8,15,0.083,5,0.52,1.12,12.7,0.74,0.16,0.0098,0.0009,2.3,91.32,QSE
16698,1587c1,9,9.9,34.7,14.2,17.9,0.073,10.4,0.4,1.12,12.3,0.56,0.19,0.0071,0.0007,2.3,111.1,QSE
16699,1587d1,9,10,35,13.8,14,0.073,6.2,0.6,1.12,8.5,0.62,0.15,0.0084,0.0011,2.1,100.6,QSE
16700,1588a1,9,7.4,30.5,11.2,13.2,0.074,4.4,0.8,1.2,16.3,0.95,0.16,0.0089,0.0007,1.9,96.98,QSE
16701,1588b1,9,6.2,28.4,10.2,14.8,0.103,4.4,0.88,1.04,18.5,1.11,0.19,0.0141,0.0008,2.4,102.3,QSE
16702,1588c1,9,8.9,35.5,11.7,16.2,0.106,6.9,1.08,1.68,26.4,1.14,0.19,0.0125,0.0009,2.4,124.7,QSE
16703,1588d1,9,7.9,32.4,9.7,15.8,0.094,6.2,1.08,1.44,21.7,1.12,0.19,0.015,0.0009,3.3,115.9,QSE
