,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
17370,099c2,4,10.2,48.6,13.6,14.6,0.062,6.1,1.54,3,15,2.42,0.19,0.0185,0.0017,3.82,137.6,SPSE2
17371,099d1,4,7.2,51.2,1.9,10.2,0.126,2.6,1.72,2.81,54.7,4.38,0.21,0.0196,0.0015,3.72,160.4,SPSE2
17372,099d2,4,6.2,54.2,10.6,14.5,0.083,8.4,2.36,3.2,65,4.39,0.36,0.0076,0.0016,1.92,178.8,SPSE2
17373,100c2,4,6.2,48.2,3.6,10.5,0.078,2.6,1.66,1.27,21.8,1.02,0.12,0.017,0.0014,3.46,117.5,SPSE2
17374,100d2,4,8.4,47.2,2.1,24.6,0.142,1.8,1.82,2.31,58.6,3.66,0.42,0.006,0.0016,4.32,161.4,SPSE2
17375,118d1,4,2.4,40.2,2.6,14.6,0.068,1.9,1.26,1.52,112,7.79,0.35,0.0133,0.0015,5.42,203.4,SPSE2
17376,118d2,4,4.5,54.2,1.9,16.2,0.082,2.6,1.36,3.43,116,4.51,0.14,0.0259,0.0016,2.46,233.3,SPSE2
17377,119b1,4,8.2,41.2,1.9,20.3,0.245,1.8,2.15,2.58,92.7,4.75,0.21,0.0199,0.0015,6.8,202.7,SPSE2
17378,119b2,4,9.6,42.6,1.9,8.5,0.062,1.9,0.76,1.79,28.4,3.4,0.07,0.0149,0.0015,3.56,117.4,SPSE2
17379,119c1,4,9.2,45.6,4.2,14.2,0.105,2.1,2.83,1.1,96.6,4.07,0.49,0.0267,0.0016,2.74,209.9,SPSE2
17380,119c2,4,10.2,42.5,2.8,21.6,0.214,1.8,1.42,2.19,188,4.19,0.5,0.0236,0.0015,2.46,301.5,SPSE2
17381,119d1,4,14.5,57.6,8.2,13.5,0.075,9.2,1.28,5.72,102,3.93,0.2,0.0173,0.0017,2.06,235.6,SPSE2
17382,119d2,4,12.4,54.2,12.6,24.6,0.142,7.6,2.86,9.1,1640,33.87,0.64,0.069,0.0079,4.83,1872,SPSE2
17383,120a1,4,10.5,42.6,1.9,14.2,0.296,2.6,8.42,8.3,105,9.35,0.3,0.0167,0.0016,2.36,222.5,SPSE2
17384,120a2,4,35.6,52.6,48.2,13.2,0.062,12.5,3.76,5.59,83.4,6.14,0.13,0.0296,0.0015,2.16,292.9,SPSE2
17385,120b1,4,8.2,60.2,6.2,26.2,0.064,10.2,2.84,3.14,27.6,1.51,0.19,0.008,0.0015,2.19,156.5,SPSE2
17386,120b2,4,10.2,47.5,8.2,20.8,0.142,11.5,1.49,6.93,45.2,2.55,0.22,0.0183,0.0016,3.56,176.6,SPSE2
17387,120c1,4,30.4,54.6,42.6,8.5,0.049,14.6,0.07,0.82,8,0.6,0.05,0.0207,0.0015,1.86,182.9,SPSE2
17388,120c2,4,12.8,43.2,2.6,14.2,0.087,4.2,0.09,5.12,32.7,1.87,0.27,0.0273,0.0016,1.92,146.4,SPSE2
17389,120d1,4,8.5,40.2,3.5,22.6,0.075,2.6,1.83,1.19,106,1.96,0.21,0.0204,0.0015,3.45,212.5,SPSE2
17390,120d2,4,31.5,64.2,45.2,10.2,0.345,16.8,2.06,7.2,65.4,2.24,0.26,0.0277,0.0016,2.08,275.2,SPSE2
17391,121a1,4,8.6,45.6,3.4,15.2,0.072,8.6,2.34,3.16,123,3.3,0.25,0.0189,0.0014,3.52,235.9,SPSE2
17392,121a2,4,10.2,64.3,10.5,13.2,0.056,8.4,0.86,2.15,24.8,1.14,0.14,0.0256,0.0014,1.99,163.3,SPSE2
17393,121b1,4,8.6,40.2,6.8,20.2,0.086,7.6,2.88,1.97,63.6,3.26,0.41,0.0172,0.0015,2.75,175.6,SPSE2
17394,121b2,4,8.2,54.6,5.9,24.6,0.082,2.1,1.04,1.27,67.5,3.3,0.51,0.0227,0.0016,3.06,194.9,SPSE2
17395,121c1,4,9.6,50.3,6.2,13.5,0.21,1.9,2.46,1.04,98.4,3.14,0.47,0.0173,0.0014,2.89,207.4,SPSE2
17396,121c2,4,12.8,58.6,8.4,10.2,0.126,10.2,1.96,1.53,80.5,2.42,0.49,0.0172,0.0016,2.06,206.5,SPSE2
17397,121d1,4,8.5,47.5,6.1,14.2,0.152,2.6,2.48,1.16,30,1.45,0.49,0.0125,0.0015,3.86,131,SPSE2
17398,121d2,4,8.6,40.2,1.9,21.5,0.068,1.9,2.86,1.13,50.9,2.33,0.52,0.0191,0.0014,2.74,153.7,SPSE2
17399,122c1,4,10.2,45.6,1.9,14.2,0.142,3.5,1.75,1.65,26.6,0.8,0.26,0.0075,0.0014,3.15,117.3,SPSE2
17400,140a1,4,6.4,65.8,1.9,20.2,0.062,1.9,1.42,1.2,48.4,3.41,0.22,0.0273,0.0015,5.42,183.6,SPSE2
17401,140a2,4,6.8,47.6,17.2,14.6,0.058,6.2,3.16,1.66,69.1,3.91,0.18,0.0585,0.0016,2.06,231,SPSE2
17402,140b1,4,14.2,52.6,12.6,21.4,0.132,10.2,4.52,0.86,30.5,2.06,0.14,0.0357,0.0014,2.24,187.2,SPSE2
17403,140b2,4,6.4,45.6,1.8,14.6,0.146,1.9,0.86,1.43,69.4,4.42,0.78,0.0318,0.0019,4.82,184,SPSE2
17404,140c1,4,6.9,55.6,6.8,15.6,0.056,2.4,1.24,1.54,82.9,3.14,0.61,0.0468,0.0016,3.56,227.1,SPSE2
17405,140c2,4,10.2,57.6,8.1,17.2,0.058,4.6,1.42,2.21,23.2,2.53,0.41,0.0747,0.0012,2.75,205,SPSE2
17406,140d1,4,8.1,42.8,9.9,20.4,0.216,2.8,0.96,1.54,19.9,2.08,0.24,0.0216,0.0021,2.06,132.6,SPSE2
17407,140d2,4,5.6,51.6,4.2,12.4,0.105,2.6,0.62,0.92,173,11.21,0.38,0.0315,0.0015,3.54,297.7,SPSE2
17408,141a1,4,6.2,45.6,1.9,7.2,0.142,1.8,2.06,3.9,24.8,1.05,0.18,0.018,0.0016,2.75,115.6,SPSE2
17409,141a2,4,6.7,40.2,1.9,10.3,0.216,1.9,1.72,1.43,80.4,3.13,0.22,0.0234,0.0014,2.06,173.6,SPSE2
17410,141b1,4,7.5,43.6,4.5,15.6,0.325,2.6,3.26,2.5,407,10.56,0.57,0.0364,0.0015,3.46,537.9,SPSE2
17411,141b2,4,5.6,47.5,2.6,19.2,0.214,1.9,2.71,2.27,92.4,2.35,0.42,0.0178,0.0016,3.05,198,SPSE2
17412,141c1,4,6.9,50.2,5.8,24.6,0.107,2.4,1.42,1.97,45.8,1.05,0.59,0.013,0.0014,4.82,158.7,SPSE2
17413,141c2,4,9.3,64.2,8.4,16.2,0.131,4.2,2.26,2.14,47.3,2.17,0.2,0.0124,0.0015,3.16,172.1,SPSE2
17414,141d1,4,32.5,58.4,39.6,10.5,0.056,14.6,0.86,1.46,15.4,0.54,0.1,0.0128,0.0016,1.92,188.7,SPSE2
17415,141d2,4,8.2,47.6,6.4,16.2,0.124,5.8,1.06,1.12,65.6,2.06,0.19,0.0132,0.0014,2.47,170,SPSE2
17416,142a1,4,14.2,45.2,5.9,17.5,0.088,4.8,1.72,2.59,158,2.74,0.12,0.0164,0.0013,2.56,271.8,SPSE2
17417,142a2,4,34.6,70.2,22.6,11.4,0.126,14.6,2.46,6.1,30.1,1.8,0.11,0.0156,0.0016,1.86,211.6,SPSE2
17418,142b1,4,10.2,45.6,6.2,24.5,0.172,9.2,2.35,2.49,63,1.92,0.18,0.0124,0.0015,2.74,181,SPSE2
17419,142b2,4,4.6,46.2,1.8,22.6,0.146,1.9,2.06,1.62,79.4,1.97,0.36,0.0108,0.0016,3.56,177,SPSE2
17420,142c1,4,10.2,43.2,12.6,14.2,0.062,7.6,1.24,1.77,26.6,0.7,0.46,0.0094,0.0016,1.82,129.9,SPSE2
17421,142c2,4,11.6,47.5,1.9,21.5,0.106,6.2,1.52,1.76,28.7,1.2,0.45,0.0196,0.0015,1.73,143.8,SPSE2
17422,142d1,4,7.8,40.2,4.2,20.2,0.082,5.4,0.76,2.29,34,2.48,0.41,0.0144,0.0014,2.46,134.7,SPSE2
17423,142d2,4,8.6,54.2,2.8,17.5,0.152,4.9,5.43,2.3,118,2.94,0.34,0.0224,0.0016,2.36,241.9,SPSE2
17424,143a1,4,9.2,42.6,8.6,20.6,0.123,7.8,1.46,2.1,65.3,2.34,0.29,0.0242,0.0015,2.06,186.7,SPSE2
17425,143a2,4,10.6,54.2,5.4,17.2,0.172,8.1,1.72,1.58,61.4,1.77,0.36,0.0224,0.0016,3.12,188,SPSE2
17426,143b1,4,6.7,53.6,2.3,20.6,0.106,1.9,1.16,1.21,44.7,1.4,0.36,0.014,0.0017,3.16,151.2,SPSE2
17427,143b2,4,7.2,47.2,3.6,12.5,0.112,2.6,0.92,1.2,47.3,0.79,0.48,0.0144,0.0016,2.75,141.1,SPSE2
17428,143c1,4,8.5,42.3,1.9,10.6,0.075,1.9,1.06,1.1,55,0.93,0.36,0.0282,0.0015,2.06,154,SPSE2
17429,143c2,4,7.2,54.2,1.9,20.6,0.126,4.6,8.35,1.43,204,4.6,0.27,0.014,0.0014,2.06,323.3,SPSE2
17430,143d1,4,7.9,50.2,2.4,15.8,0.103,6.2,1.52,1.11,35,1.28,0.15,0.0158,0.0016,1.92,139.4,SPSE2
17431,143d2,4,5.2,43.2,2.6,17.6,0.056,2.8,2.24,1.12,23.2,0.87,0.26,0.0108,0.0015,2.74,112.7,SPSE2
17432,144a1,4,20.6,54.2,14.2,10.2,0.062,8.2,0.58,1.7,19.8,0.31,0.26,0.0214,0.0014,1.84,153.4,SPSE2
17433,144c2,4,12.4,62.4,14.8,16.2,0.064,12.6,0.76,1.64,19.1,0.69,0.21,0.0154,0.0014,3.46,159.7,SPSE2
17434,162a2,4,8.2,41.2,1.8,14.6,0.206,1.9,0.82,2.23,94.8,5.72,0.26,0.008,0.0016,4.82,184.6,SPSE2
17435,162a3,4,2,42.3,1.9,16.4,0.065,1.8,0.45,1.17,49.2,3.54,0.21,0.008,0.0017,5.42,132.5,SPSE2
17436,162b1,4,5.6,43.2,2.4,14.4,0.079,3.5,0.86,1.27,49.4,4.6,0.32,0.0087,0.0016,2.06,136.4,SPSE2
17437,162b2,4,4.8,42.6,2.9,17.5,0.082,2.6,0.93,1.53,58.2,4.18,0.33,0.0091,0.0016,3.52,148.3,SPSE2
17438,162b3,4,8.2,63,6.2,13.2,0.152,8.2,0.62,1.64,69,2.69,0.34,0.008,0.0016,1.92,183.2,SPSE2
17439,162c3,4,5.8,40.2,1.9,12.8,0.075,1.9,1.75,1.87,41.7,1.98,0.19,0.0082,0.0023,1.92,120.3,SPSE2
17440,162d1,4,8.6,57.6,8.1,18.4,0.086,4.8,1.52,1.64,94.4,4.08,0.48,0.0281,0.0019,2.96,230.8,SPSE2
17441,162d2,4,14.6,45.6,14.2,10.2,0.092,8.2,2.36,1.28,121,2.1,0.48,0.011,0.0019,2.06,233.2,SPSE2
17442,162d3,4,6.2,40.2,1.9,30.6,0.124,1.9,0.62,1.27,244.8,10.14,0.57,0.01,0.0015,5.82,354.1,SPSE2
17443,163a1,4,21.5,64.2,15.1,14.5,0.286,14.5,100,1.27,192.6,10.26,0.15,0.0595,0.0014,1.92,495.8,SPSE2
17444,163a2,4,8.2,45.2,10.4,24.6,0.104,1.8,1.42,1.35,11.6,0.66,0.32,0.0114,0.0013,3.05,120.1,SPSE2
17445,163a3,4,6.2,45.6,2.7,21.4,0.096,2.4,2.86,1.2,21.1,1.11,0.35,0.0252,0.0014,2.46,132.7,SPSE2
17446,163b1,4,8.4,55.6,5.8,16.2,0.093,2.5,3.52,1.2,55,4.13,1.06,0.0219,0.0015,4.92,180.3,SPSE2
17447,163b2,4,8.2,54.2,5.7,12.6,0.062,1.9,3.46,1.2,49.2,1.99,1.01,0.0124,0.0015,4.46,156.4,SPSE2
17448,163b3,4,9.7,41.2,10.1,14.1,0.082,8.4,1.92,1.36,76.8,2.55,0.4,0.0286,0.0014,3.62,198.8,SPSE2
17449,163c1,4,7.4,42.3,1.9,11.5,0.084,1.9,0.76,1.39,14.5,0.56,0.3,0.009,0.0051,1.92,93.52,SPSE2
17450,163c2,4,10.2,45.2,14.3,17.8,0.096,8.4,1.02,1.94,85.6,1.41,0.35,0.0143,0.0015,2.46,203.1,SPSE2
17451,163d1,4,7.8,71.2,2,18.6,0.062,10.2,1.14,1.7,24.1,3.15,0.19,0.0167,0.0016,2.84,159.7,SPSE2
17452,163d2,4,8.4,60.5,2.1,14.2,0.074,9.2,0.86,1.48,25.7,0.84,0.2,0.0233,0.0014,2.62,149.5,SPSE2
17453,163d3,4,10.2,54.2,14.2,19.3,0.062,1.9,2.63,2.07,44.1,1.7,0.31,0.0233,0.0016,3.72,177.7,SPSE2
17454,164a1,4,8.6,41.6,10.5,10.2,0.062,5.4,0.92,1.91,21.6,0.82,0.21,0.019,0.0017,1.82,122.6,SPSE2
17455,164a2,4,7.2,42.3,2.6,15.6,0.094,1.9,4.46,1.68,32.7,1.69,0.48,0.019,0.0015,2.93,132.6,SPSE2
17456,164b1,4,11.6,51.2,14.2,12.3,0.062,8.6,0.75,1.62,26.9,0.63,0.27,0.0138,0.0016,1.92,143.9,SPSE2
17457,164b2,4,10.2,47.6,15.3,13.2,0.058,8.2,0.89,1.24,24.7,0.78,0.24,0.0124,0.0016,2.06,136.9,SPSE2
17458,164c1,4,8.6,52.2,8.2,15.6,0.072,2.4,1.72,1.2,121.8,5.95,0.34,0.0082,0.0014,4.15,230.4,SPSE2
17459,164c2,4,10.2,42.6,10.5,10.7,0.074,5.1,2.43,1.79,59.7,3.25,0.33,0.0087,0.0017,2.34,157.7,SPSE2
17460,164d1,4,5.6,41.2,2.3,14.8,0.062,1.9,2.36,1.48,60.6,1.71,0.33,0.008,0.0015,2.06,142.4,SPSE2
17461,164d2,4,12.6,65.2,21.4,20.6,0.073,10.4,1.08,1.94,42.5,1.17,0.32,0.0186,0.0016,2.45,198.3,SPSE2
17462,165a1,4,13.4,50.6,14.5,17.8,0.052,7.5,0.82,1.53,25.2,0.88,0.24,0.0092,0.0015,1.96,143.7,SPSE2
17463,165a2,4,13.2,58.6,14.6,15.9,0.053,10.2,0.56,1.22,6.1,0.51,0.34,0.0087,0.0014,1.82,131.8,SPSE2
17464,165b1,4,14.2,59.4,15.2,14.2,0.062,10.6,2.86,1.54,20.3,0.65,0.42,0.0114,0.0016,2.46,153.3,SPSE2
17465,165b2,4,12.6,45.2,12.4,17.2,0.063,8.2,0.71,1.72,14.4,0.52,0.22,0.0138,0.0015,1.86,128.9,SPSE2
17466,165c1,4,12.8,50.2,14.5,18.6,0.071,7.6,3.72,1.42,111,2.67,0.57,0.0238,0.0016,3.94,250.9,SPSE2
17467,165c2,4,12.8,50.2,10.8,21.6,0.124,5.2,1.72,1.27,36.9,1.57,0.46,0.0167,0.0015,2.86,162.2,SPSE2
17468,165d1,4,8.6,47.5,8.2,17.2,0.072,7.3,2.83,1.27,42.9,1.32,0.42,0.0133,0.0016,3.52,154.4,SPSE2
17469,165d2,4,6.2,58.6,2.6,24.6,0.058,2.6,2.06,1.27,41.4,1.32,0.33,0.019,0.0014,3.84,163.9,SPSE2
17470,166a1,4,11.4,50.2,5.6,14.8,0.086,10.2,0.52,1.18,10.3,0.56,0.27,0.0148,0.0016,1.86,121.8,SPSE2
17471,166a2,4,9.8,54.2,2.8,16.3,0.052,2.3,1.15,1.25,63.9,0.75,0.41,0.009,0.0014,2.06,164,SPSE2
17472,166a3,4,8.4,60.3,8.2,35.6,0.152,2.4,2.46,1.25,38.5,0.54,0.33,0.0081,0.0015,3.54,169.8,SPSE2
17473,184a1,4,12.5,40.2,11.5,20.6,0.062,1.8,1.42,1.37,14.1,0.87,0.32,0.0089,0.0014,2.24,115.9,SPSE2
17474,184a2,4,21.5,45.6,21.6,31.2,0.076,8.6,2.86,1.95,76.6,6.92,1.1,0.0313,0.002,3.85,253.2,SPSE2
17475,184a3,4,12.5,56.2,12.4,12.6,0.062,6.2,2.03,1.47,83.6,1.75,0.32,0.0196,0.0016,1.92,210.7,SPSE2
17476,184b1,4,18.2,47.2,24.6,15.2,0.073,5.6,2.96,2.93,500,7.98,0.5,0.0367,0.0015,3.05,665,SPSE2
17477,184b2,4,25.6,50.2,20.5,14.6,0.152,7.2,3.52,3,516,8.87,0.54,0.0356,0.0016,2.86,688.6,SPSE2
17478,184b3,4,32.8,78.6,22.3,17.2,0.052,13.2,0.63,1.52,19.4,1.1,1.21,0.0089,0.0014,1.92,198.8,SPSE2
17479,184c1,4,8.2,41.2,1.9,15.2,0.093,1.9,1.52,1.32,26.6,1.16,0.22,0.0068,0.0015,2.06,108.2,SPSE2
17480,184c2,4,12.6,41.2,10.2,16.2,0.096,1.9,3.25,1.26,68.5,1.32,0.36,0.0168,0.0016,2.86,176.5,SPSE2
17481,184d1,4,8.4,40.2,11.2,11.5,0.086,2.3,0.76,1.29,97.6,1.43,0.32,0.0068,0.0016,1.93,183.8,SPSE2
17482,184d2,4,14.2,40.2,10.2,15.4,0.082,10.2,3.15,3.12,121,2.49,0.21,0.0174,0.0014,3.52,241.2,SPSE2
17483,184d3,4,12.6,55.2,1.8,17.6,0.056,1.9,0.62,1.57,29.8,1,0.18,0.0228,0.0015,1.84,147,SPSE2
17484,185a1,4,5.8,41.2,1.9,10.2,0.082,1.9,1.05,2.06,164,2.76,0.32,0.0196,0.0016,2.45,253.3,SPSE2
17485,185a2,4,8.2,42.3,1.9,11.4,0.056,1.9,1.42,1.57,182,2.91,0.32,0.01,0.0014,2.06,266,SPSE2
17486,185a3,4,10.2,43.2,4.2,14.6,0.057,1.8,0.75,1.57,58.1,0.53,0.2,0.0153,0.0016,2.42,152.9,SPSE2
17487,185b1,4,12.6,58.6,2.6,10.2,0.096,4.2,2.86,1.38,27.4,0.63,1.47,0.0142,0.0017,2.06,138.3,SPSE2
17488,185b2,4,7.5,43.2,11.8,13.2,0.062,1.8,0.52,0.83,30.4,0.57,0.3,0.0046,0.0014,3.52,118.3,SPSE2
17489,185b3,4,7.6,42.1,8.9,10.2,0.054,1.9,1.54,1.33,103,0.94,0.44,0.01,0.0016,4.15,192.2,SPSE2
17490,185c1,4,14.5,47.2,9.6,15.6,0.052,8.2,0.75,1,56.1,0.55,0.2,0.0153,0.0016,2.06,171.1,SPSE2
17491,185c2,4,14.5,45.2,8.2,10.2,0.056,8.2,0.76,1.27,46.9,0.6,0.18,0.0057,0.0015,1.92,143.7,SPSE2
17492,185c3,4,8.6,40.2,10.5,14.8,0.063,7.1,0.82,2.44,54.6,1.27,0.32,0.0046,0.0014,1.95,147.3,SPSE2
17493,185d1,4,5.2,45.2,1.9,18.2,0.095,1.9,0.86,1.83,63.8,1.02,0.28,0.0196,0.0016,3.52,163.4,SPSE2
17494,185d2,4,8.2,41.2,1.9,10.4,0.054,1.9,0.54,1.93,288,3.57,0.22,0.0089,0.0015,2.06,368.9,SPSE2
17495,185d3,4,50.6,240.3,99.4,17.6,0.103,30.6,95,2.28,848,19.32,0.49,0.0313,0.0016,1.92,1437,SPSE2
17496,186a1,4,10.4,54.2,1.8,20.6,0.102,5.6,2.45,1.35,58.9,1.12,0.36,0.011,0.0017,4.15,172,SPSE2
17497,186a2,4,7.8,42.3,1.9,10.9,0.063,6.8,0.52,1.94,74.7,1.76,0.29,0.0089,0.0015,2.06,159.9,SPSE2
17498,186a3,4,8.3,41.2,6.2,15.6,0.053,7.2,3.86,1.59,87.1,1.32,0.3,0.0145,0.0016,1.93,189.2,SPSE2
17499,186b1,4,8.5,45.2,1.9,14.5,0.065,1.8,2.86,0.87,13.4,0.77,0.28,0.011,0.0015,3.15,104.3,SPSE2
17500,186b2,4,4.6,40.2,1.9,10.2,0.142,1.9,0.86,1.44,31.1,0.78,0.26,0.0068,0.0016,2.06,102.2,SPSE2
17501,186b3,4,9.5,56.2,2.4,16.2,0.092,3.4,2.06,1.66,125,3.9,0.46,0.0313,0.0016,2.84,255,SPSE2
17502,186c1,4,5.2,43.2,2.6,12.5,0.056,1.8,0.76,1.62,89.7,0.92,0.24,0.01,0.0015,2.16,170.8,SPSE2
17503,186c2,4,8.6,45.6,2.4,15.4,0.062,1.9,1.92,1.09,60.8,0.94,0.28,0.0206,0.0014,2.74,162.3,SPSE2
17504,186c3,4,7.2,47.2,4.2,14.6,0.056,4.2,0.72,1.21,56.3,0.94,0.29,0.0164,0.0015,2.74,156.1,SPSE2
17505,186d2,4,5.6,47.6,4.2,15.6,0.052,2.3,0.92,1.11,23.9,0.57,0.2,0.0132,0.0015,3.02,118.3,SPSE2
17506,187a1,4,14.8,42.6,4.5,17.5,0.052,7.5,1.42,1.26,28.6,0.84,0.18,0.0142,0.0015,1.96,135.4,SPSE2
17507,187a3,4,5.6,45.6,8.2,18.2,0.062,4.1,0.56,1.09,11.3,0.5,0.36,0.0142,0.0015,3.82,113.6,SPSE2
17508,207b2,4,14.2,40.2,21.4,24.5,0.058,1.9,0.72,1.01,54.8,0.99,0.24,0.0171,0.0015,1.92,179,SPSE2
17509,208a2,4,14.6,50.2,21.4,15.6,0.058,8.6,0.75,1.2,63.4,0.67,0.16,0.0094,0.0016,1.94,188,SPSE2
17510,207a1,5,5.6,41.5,1.8,14.6,0.062,1.8,0.69,1.1,46.7,1.02,0.13,0.0088,0.0014,2.06,125.9,SPSE2
17511,207a2,5,6.8,41.3,1.9,13.2,0.056,1.9,0.71,1.32,43.9,0.98,0.25,0.0088,0.0015,2.24,123.4,SPSE2
17512,207a3,5,8.2,42.3,1.9,10.2,0.062,1.8,1.42,1.09,43.5,1.15,0.19,0.0094,0.0016,1.96,123.2,SPSE2
17513,162c1,6,12.4,48.5,5.6,24.6,0.204,1.9,2.46,3.27,1158,26.4,0.31,0.0096,0.0152,5.42,1299,SPSE2
17514,162c2,6,10.5,64.2,4.7,16.2,0.215,1.8,2.54,2,241.2,10.5,0.64,0.0096,0.0042,4.86,369,SPSE2
16578,1153c1,4,11.6,47.9,16.2,31.5,0.082,5.4,2.43,2.36,24.3,0.89,0.09,0.0046,0.0009,2.3,149.7,SPSE1
16579,1153d2,4,8.2,46.9,13.8,26.3,0.08,4.5,6.9,1.69,6.9,0.84,0.59,0.0044,0.0009,2,123.1,SPSE1
16580,1162d2,4,7.8,68.5,12.1,19.8,0.073,7.9,0.72,0.6,7.6,0.53,0.3,0.013,0.001,3.2,142.1,SPSE1
16581,1163a1,4,16,57.8,27.2,17.6,0.086,13.4,0.7,1.13,29.6,1.49,0.12,0.0208,0.0011,2.3,188.2,SPSE1
16582,1163b2,4,12.3,46.7,12.4,14.8,0.067,9.6,0.6,1.58,19.7,0.83,0.1,0.0068,0.0012,1.9,127.4,SPSE1
16583,1163c1,4,21.5,57.3,22.8,18.9,0.111,12.9,0.47,1.14,16.3,1.76,0.12,0.0178,0.0008,2.4,173.5,SPSE1
16584,1163c2,4,11.3,45.7,12.4,18.4,0.059,10.4,0.4,1.46,9.6,0.76,0.11,0.0109,0.0014,2.4,123.9,SPSE1
16585,1163d1,4,13.6,47,20.2,19.8,0.095,14.5,0.55,1.24,17.7,1.27,0.13,0.0165,0.0011,2.3,154.9,SPSE1
16586,1164a1,4,14.5,40.4,17.9,16.4,0.075,9.2,0.38,1.21,12.8,1.75,0.05,0.0209,0.001,1.8,137.4,SPSE1
16587,1164a2,4,8.3,42.6,17.4,13.3,0.077,5,0.41,2.35,13.4,0.84,0.17,0.0102,0.001,1.7,115.7,SPSE1
16588,1164b1,4,23.8,146.8,13.4,101.7,0.603,5.3,8.3,2.2,49.3,1.85,1.64,0.0062,0.001,2.6,363.7,SPSE1
16589,1164c1,4,19.8,53.5,12.5,58.9,0.078,8.1,0.4,1.29,9.5,1.11,0.16,0.004,0.0008,2.1,171.4,SPSE1
16590,1164c2,4,7.2,40.9,11.6,10.9,0.083,7.8,1.27,1.55,10.5,1.43,0.07,0.0134,0.0008,3.7,110.4,SPSE1
16591,1164d1,4,10.1,33.7,11.7,22.2,0.073,3.6,0.7,1.4,6.4,0.58,0.13,0.0336,0.0008,3,127.2,SPSE1
16592,1164d2,4,3.9,37.5,11.5,18.4,0.097,5,1,2.19,7.3,0.75,0.12,0.0069,0.0008,2.6,97.26,SPSE1
16593,1165a1,4,27,109.8,25.3,34.1,0.066,10.5,0.8,1.42,13.5,2.18,0.06,0.0127,0.0009,2.4,239.8,SPSE1
16594,1165a2,4,25.6,45.3,14.7,36.7,0.173,9.8,7,4.34,10.2,1.03,0.28,0.0131,0.0009,2.1,170.3,SPSE1
16595,1165a3,4,8,43.6,16.2,22.9,0.078,6.3,0.55,2.04,6.6,0.61,0.14,0.0046,0.0007,2.5,114.1,SPSE1
16596,1165b1,4,6.8,34.2,13,26.3,0.075,4.7,0.65,1.65,6.5,0.44,0.08,0.0062,0.0011,2.6,103.2,SPSE1
16597,1165c1,4,14.8,52.6,21.1,20.4,0.079,11.8,0.82,1.9,14.1,1.04,0.08,0.0111,0.0008,2.4,152.2,SPSE1
16598,1165c2,4,8.6,46.4,17.4,26.1,0.065,9.5,0.54,2.74,8.5,0.61,0.06,0.0075,0.0009,2.7,130.7,SPSE1
16599,1165c3,4,7.3,32.6,11.5,26.8,0.063,6,0.6,1.2,6.5,0.42,0.19,0.0041,0.0008,2.8,100.1,SPSE1
16600,1165d1,4,29.7,65.8,31.8,17.6,0.068,14.6,1.6,2.2,33,1.61,0.06,0.0259,0.0008,1.8,225.7,SPSE1
16601,1165d2,4,41.5,124.7,41.3,32.7,0.355,13.8,1.44,1.36,56.6,2.74,0.24,0.0273,0.0009,1.4,345.4,SPSE1
16602,1166a1,4,29,118.5,57.7,19.1,0.088,10.7,0.4,1.01,28.5,2.74,0.04,0.0198,0.001,1.5,289.1,SPSE1
16603,1166a3,4,10.1,37.7,14.6,29.5,0.11,6.3,1.1,2.44,9.4,0.78,0.21,0.0099,0.0011,2.8,124.9,SPSE1
16604,1172b1,4,14.8,53.3,13.1,13.1,0.063,9.8,0.76,1.36,12.2,0.72,0.2,0.0139,0.0007,1.8,135.1,SPSE1
16605,1172d2,4,20.1,57.6,26.3,15.2,0.05,10.8,0.6,1.52,11,1.02,0.15,0.0221,0.0009,1.8,168.2,SPSE1
16606,1173a1,4,20,55.5,22.2,14.3,0.054,9.6,0.68,1.68,14.5,1.17,0.12,0.0165,0.0011,1.4,157.7,SPSE1
16607,1173a2,4,24.8,76.5,30.7,17.1,0.23,12.5,0.92,2,18.1,0.8,0.17,0.028,0.0013,1.7,213.5,SPSE1
16608,1173b1,4,15.5,61,12.7,15.8,0.062,5.5,1.32,1.68,57.7,1.71,0.14,0.0238,0.0014,1.7,198.6,SPSE1
16609,1173b2,4,19.2,216.8,48.5,100.3,0.355,4.3,6.64,0.88,125,4.26,0.85,0.0202,0.0011,11.3,558.6,SPSE1
16610,1173c1,4,8.1,52,13.2,20.2,0.098,6.2,0.84,2.16,12.6,1.55,0.17,0.0101,0.0009,1.4,128.6,SPSE1
16611,1173d1,4,6.1,48.5,13.7,30.9,0.071,5.4,1.8,2,10.4,0.77,0.28,0.0096,0.0011,5.9,135.4,SPSE1
16612,1174a1,4,11.7,48.7,13.2,16.2,0.06,7.8,0.44,1.36,7.2,2.88,0.16,0.0178,0.0008,1.9,129.4,SPSE1
16613,1174a2,4,13.8,41.1,8.8,14.7,0.047,8.1,0.52,1.12,5.2,1.39,0.12,0.0138,0.0007,1.6,110.3,SPSE1
16614,1174b1,4,34.7,73.2,48.4,15.4,0.071,17,0.84,0.88,18.2,2.07,0.04,0.0102,0.0008,2.2,223.2,SPSE1
16615,1174b2,4,6,52.5,14,26.1,0.077,6.9,0.44,1.44,7.6,0.92,0.15,0.0069,0.001,3.9,126.9,SPSE1
